,Xavier ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tyeasha Moss,6,11,2,3,4,8,1,1,1,0,6,0,0,5,2,17,0.09090909090909091,1.2
1,Ta'Shia Phillips,5,8,5,8,0,0,1,1,3,5,2,0,5,2,3,11,0.125,1.0
2,Special Jennings,2,6,0,2,2,4,2,4,0,4,7,1,0,5,2,8,0.3333333333333333,1.4
3,Amber Harris,8,9,6,7,2,2,2,4,2,5,2,3,2,6,4,20,0.2222222222222222,0.3333333333333333
4,Megan Askew,0,4,0,3,0,1,1,2,3,1,1,1,1,3,3,1,0.25,0.3333333333333333
11,School Totals,27,54,13,24,14,30,7,12,9,17,19,7,8,24,19,75,0.12962962962962962,0.7916666666666666
