,Bethune-Cookman ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Angel Golden,7,22,1,2,6,20,5,7,0,2,1,1,0,3,3,25,0.22727272727272727,0.3333333333333333
1,Amaya Scott,3,6,3,6,0,0,0,0,6,6,1,1,2,5,1,6,0.0,0.2
2,Camary Harris,2,8,1,5,1,3,0,0,0,2,5,1,0,0,1,5,0.0,0.0
3,Chasimmie Brown,0,6,0,6,0,0,2,2,3,3,1,0,0,0,3,2,0.3333333333333333,0.0
4,Amani Ball,1,3,0,0,1,3,0,0,0,0,0,0,0,1,1,3,0.0,0.0
9,School Totals,16,60,7,26,9,34,9,11,9,16,11,5,2,14,16,50,0.15,0.7857142857142857
