,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jackie Young,4,9,3,8,1,1,2,2,1,3,4,1,1,3,0,11,0.2222222222222222,1.3333333333333333
1,Arike Ogunbowale,8,15,6,12,2,3,5,5,1,2,4,3,0,1,2,23,0.3333333333333333,4.0
2,Jessica Shepard,9,15,9,15,0,0,4,4,5,8,4,2,0,1,2,22,0.26666666666666666,4.0
3,Brianna Turner,8,10,8,10,0,0,3,4,4,5,1,0,5,2,1,19,0.3,0.5
4,Marina Mabrey,0,3,0,0,0,3,0,0,0,1,7,3,0,2,1,0,0.0,3.5
12,School Totals,36,66,31,56,5,10,15,18,14,31,24,11,7,11,9,92,0.22727272727272727,2.1818181818181817
