,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Ward,6,13,4,6,2,7,2,2,0,2,3,1,0,4,1,16,0.15384615384615385,0.75
1,Chasity Clayton,4,13,4,12,0,1,2,3,4,5,0,1,0,3,3,10,0.15384615384615385,0.0
2,Jacinta Monroe,5,10,5,10,0,0,6,6,4,3,1,2,0,2,3,16,0.6,0.5
3,Angel Gray,0,3,0,2,0,1,0,0,3,6,4,0,0,2,3,0,0.0,2.0
4,Alysha Harvin,3,6,2,3,1,3,2,2,0,1,0,1,0,2,4,9,0.3333333333333333,0.0
9,School Totals,25,63,22,48,3,15,22,26,15,24,13,8,3,17,21,75,0.3492063492063492,0.7647058823529411
