,Louisiana Tech ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jasmine Bendolph,2,9,1,4,1,5,6,6,2,3,4,1,0,3,2,11,0.6666666666666666,1.3333333333333333
1,Shanavia Dowdell,11,14,11,12,0,2,6,8,4,8,1,0,1,2,5,28,0.42857142857142855,0.5
2,Adrienne Johnson,4,10,4,10,0,0,0,0,2,1,3,2,3,3,5,8,0.0,1.0
3,Whitney Jones,1,10,1,4,0,6,3,4,1,0,2,1,0,1,2,5,0.3,2.0
4,Tarkeisha Wysinger-Mackey,1,7,1,5,0,2,2,4,3,3,1,0,0,4,2,4,0.2857142857142857,0.25
8,School Totals,21,62,19,42,2,20,17,22,14,18,13,5,4,16,24,61,0.27419354838709675,0.8125
