,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Hailey Van Lith,4,11,3,8,1,3,0,0,2,7,3,3,0,4,3,9,0.0,0.75
1,Kianna Smith,7,18,7,16,0,2,0,0,1,4,1,0,0,3,2,14,0.0,0.3333333333333333
2,Olivia Cochran,6,11,6,11,0,0,2,3,4,0,0,3,1,0,4,14,0.18181818181818182,0.0
3,Emily Engstler,8,17,8,16,0,1,2,4,3,6,1,4,1,4,5,18,0.11764705882352941,0.25
4,Chelsie Hall,1,3,1,2,0,1,0,0,0,1,0,2,0,3,0,2,0.0,0.0
12,School Totals,27,63,26,55,1,8,4,7,11,18,5,13,2,15,17,59,0.06349206349206349,0.3333333333333333
