,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Danielle Robinson,36,.599,.500,.000,.750,0.0,8.2,4.4,24.0,6.4,3.2,36.1,24.5,89,57
1,Amanda Thompson,32,.333,.333,.222,.000,5.2,9.3,7.4,19.5,1.8,0.0,18.2,18.2,77,66
2,Nyeshia Stevenson,31,.562,.429,.429,.571,0.0,19.1,10.1,6.7,0.0,0.0,25.5,20.1,94,69
3,Abi Olajuwon,27,.708,.667,.000,.250,37.0,27.4,32.0,13.3,2.1,0.0,23.1,33.9,118,62
4,Jasmine Hartman,25,,,,,0.0,5.9,3.1,7.0,0.0,0.0,,0.0,204,72
6,Carlee Roethlisberger,25,.563,.563,.250,.000,0.0,11.9,6.3,0.0,0.0,0.0,33.3,25.4,73,70
7,Joanna McFarland,15,.169,.000,.000,1.000,11.1,39.5,26.1,11.6,0.0,0.0,41.0,17.2,42,64
8,Lauren Willis,6,,,,,0.0,24.7,13.1,0.0,0.0,0.0,100.0,8.8,0,68
9,Lyndsey Cloman,2,,,,,0.0,74.1,39.2,0.0,0.0,0.0,,0.0,,58
10,Kodi Morrison,1,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.9,200,74
11,School Totals,200,.554,.500,.149,.319,33.3,81.5,58.8,47.8,8.7,2.9,28.9,100.0,87.0,63.8
