,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Oklahoma ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kim Sitzmann,40,.077,.077,.692,.000,0.0,4.2,2.0,5.6,1.4,0.0,13.3,19.9,18,96
1,Asriel Rolfe,40,.000,.000,1.000,.000,3.7,12.5,7.8,10.5,2.9,0.0,40.0,13.3,13,90
2,Shankia Butler,39,.610,.600,.200,1.000,7.6,17.1,12.1,12.9,4.4,0.0,29.4,13.9,95,86
3,Chastity Reed,38,.557,.529,.000,.118,0.0,17.5,8.3,44.2,6.1,2.6,25.1,33.4,87,81
4,Marian Kursh,24,.477,.500,.000,.375,6.2,13.9,9.8,0.0,0.0,0.0,30.0,29.5,66,96
6,Britteni Williams,13,.678,1.000,.000,1.000,11.4,12.8,12.1,0.0,4.4,0.0,0.0,11.8,130,87
7,Channon Haywood,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,99
8,Shelby Ashcraft,2,,,,,0.0,83.3,39.2,0.0,0.0,0.0,,0.0,,78
9,Janette Merriex,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,100
10,School Totals,200,.388,.373,.314,.235,18.5,66.7,41.2,47.4,15.9,2.5,25.1,100.0,63.8,87.0
