,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chassidy Fussell,5,13,4,7,1,6,0,0,1,1,1,0,0,1,3,11,0.0,1.0
1,Kathleen Nash,8,17,5,10,3,7,0,0,5,4,1,2,1,2,2,19,0.0,0.5
2,Ashleigh Fontenette,5,15,5,14,0,1,0,0,1,3,5,2,0,3,0,10,0.0,1.6666666666666667
3,Yvonne Anderson,2,10,1,8,1,2,0,0,3,3,5,2,0,0,2,5,0.0,0.0
4,Ashley Gayle,3,9,3,9,0,0,0,0,2,9,0,1,4,2,3,6,0.0,0.0
9,School Totals,29,74,22,55,7,19,0,0,15,22,13,9,6,11,15,65,0.0,1.1818181818181819
