,Pennsylvania ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Stipanovich,10,17,10,17,0,0,0,0,0,2,0,0,2,0,4,20,0.0,0.0
1,Kasey Chambers,2,5,0,1,2,4,2,2,4,2,3,1,0,3,2,8,0.4,1.0
2,Anna Ross,2,7,1,3,1,4,3,4,1,8,7,1,0,4,2,8,0.42857142857142855,1.75
3,Beth Brzozowski,2,6,0,1,2,5,0,0,0,2,3,1,0,0,3,6,0.0,0.0
4,Michelle Nwokedi,5,12,3,7,2,5,3,4,1,6,4,0,2,3,4,15,0.25,1.3333333333333333
9,School Totals,23,53,16,33,7,20,8,10,7,24,17,3,4,11,18,61,0.1509433962264151,1.5454545454545454
