,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Danni Williams,4,21,1,13,3,8,4,4,4,4,2,0,0,1,2,15,0.19047619047619047,2.0
1,Curtyce Knox,3,12,3,10,0,2,1,3,1,2,8,1,0,3,1,7,0.08333333333333333,2.6666666666666665
2,Anriel Howard,2,11,2,11,0,0,3,4,6,10,1,3,1,1,2,7,0.2727272727272727,1.0
3,Khaalia Hillsman,9,14,9,14,0,0,9,11,5,4,0,2,0,1,3,27,0.6428571428571429,0.0
4,Taylor Cooper,1,5,1,4,0,1,3,4,0,0,0,1,0,1,2,5,0.6,0.0
7,School Totals,20,66,17,55,3,11,20,26,18,21,12,8,1,7,15,63,0.30303030303030304,1.7142857142857142
