,Duquesne ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,April Robinson,4,11,2,3,2,8,5,5,0,7,7,3,1,6,2,15,0.45454545454545453,1.1666666666666667
1,Kadri-Ann Lass,9,19,7,16,2,3,0,0,0,0,3,0,1,1,0,20,0.0,3.0
2,Amadea Szamosi,6,10,5,9,1,1,3,3,2,3,1,2,0,2,2,16,0.3,0.5
3,Deva'Nyar Workman,8,13,7,11,1,2,8,9,7,5,5,1,1,1,2,25,0.6153846153846154,5.0
4,Emilie Gronas,2,4,1,2,1,2,0,0,0,3,1,1,0,2,4,5,0.0,0.5
12,School Totals,34,70,25,49,9,21,20,23,11,21,19,10,3,15,12,97,0.2857142857142857,1.2666666666666666
