,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Leticia Romero,5,10,4,9,1,1,6,8,2,5,4,0,0,3,1,17,0.6,1.3333333333333333
1,Brittany Brown,4,8,4,8,0,0,2,2,5,5,4,4,0,5,3,10,0.25,0.8
2,Adut Bulgak,6,10,3,5,3,5,0,0,2,7,1,2,3,5,1,15,0.0,0.2
3,Shakayla Thomas,5,12,5,12,0,0,1,3,2,3,3,1,0,1,3,11,0.08333333333333333,3.0
4,Ivey Slaughter,1,4,1,4,0,0,0,0,1,1,0,1,0,1,5,2,0.0,0.0
10,School Totals,27,55,22,45,5,10,13,19,13,26,15,11,3,21,18,72,0.23636363636363636,0.7142857142857143
