,Tulane ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tiffany Dale,2,7,2,6,0,1,2,4,3,6,1,2,0,0,1,6,0.2857142857142857,0.0
1,Jamie Kaplan,3,7,2,4,1,3,2,3,1,1,5,4,0,4,2,9,0.2857142857142857,1.25
2,Kolby Morgan,5,9,2,4,3,5,4,6,2,4,2,3,1,4,1,17,0.4444444444444444,0.5
3,Courtnie Latham,0,3,0,3,0,0,1,2,0,4,0,0,0,3,2,1,0.3333333333333333,0.0
4,Chinwe Duru,0,3,0,3,0,0,0,1,2,0,1,0,3,1,3,0,0.0,1.0
9,School Totals,13,47,8,29,5,18,16,25,10,21,10,10,4,18,20,47,0.3404255319148936,0.5555555555555556
