,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,DiDi Richards,0,1,0,1,0,0,2,2,6,2,7,1,0,1,2,2,2.0,7.0
1,Juicy Landrum,4,8,1,3,3,5,3,3,1,5,3,0,0,0,0,14,0.375,0.0
2,Chloe Jackson,2,8,2,8,0,0,0,0,0,2,6,1,1,0,1,4,0.0,0.0
3,Kalani Brown,6,9,6,9,0,0,5,8,5,6,1,0,2,2,2,17,0.5555555555555556,0.5
4,Lauren Cox,4,6,3,5,1,1,5,5,1,3,3,0,2,0,2,14,0.8333333333333334,0.0
12,School Totals,32,67,23,54,9,13,22,29,22,35,27,9,9,10,13,95,0.3283582089552239,2.7
