,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tyasha Harris,5,6,3,4,2,2,4,5,1,5,2,3,0,2,1,16,0.6666666666666666,1.0
1,Allisha Gray,4,7,3,5,1,2,2,2,0,4,2,1,1,4,1,11,0.2857142857142857,0.5
2,Kaela Davis,10,15,10,13,0,2,3,4,0,5,2,0,0,2,2,23,0.2,1.0
3,Bianca Cuevas-Moore,0,3,0,1,0,2,3,4,0,0,1,2,0,3,1,3,1.0,0.3333333333333333
4,A'ja Wilson,6,9,6,9,0,0,4,5,0,4,1,0,4,3,4,16,0.4444444444444444,0.3333333333333333
7,School Totals,26,45,23,35,3,10,16,20,1,27,8,7,5,18,11,71,0.35555555555555557,0.4444444444444444
