,Miami ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jessica Thomas,3,15,2,9,1,6,0,0,0,5,1,3,0,2,4,7,0.0,0.5
1,Adrienne Motley,7,17,6,12,1,5,4,6,3,2,4,2,0,1,1,19,0.23529411764705882,4.0
2,Michelle Woods,1,8,1,5,0,3,0,2,3,2,5,1,1,3,5,2,0.0,1.6666666666666667
3,Erykah Davenport,0,3,0,3,0,0,0,0,1,1,0,1,1,0,1,0,0.0,0.0
4,Keyona Hayes,1,4,1,4,0,0,0,1,2,1,0,1,0,0,2,2,0.0,0.0
10,School Totals,28,76,22,55,6,21,9,16,13,19,13,14,6,10,22,71,0.11842105263157894,1.3
