,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Keyla Snowden,5,12,1,3,4,9,5,6,0,1,1,2,0,1,4,19,0.4166666666666667,1.0
1,Brittany Henderson,2,4,2,4,0,0,2,2,1,6,1,0,3,1,2,6,0.5,1.0
2,Victoria Dunlap,4,14,4,14,0,0,5,7,5,7,2,0,2,4,2,13,0.35714285714285715,0.5
3,Bernisha Pinkett,1,8,1,6,0,2,0,0,1,1,1,1,0,2,1,2,0.0,0.5
4,A'dia Mathies,3,7,3,6,0,1,0,0,1,0,3,0,0,2,5,6,0.0,1.5
11,School Totals,22,64,14,45,8,19,14,19,12,23,14,8,6,13,17,66,0.21875,1.0769230769230769
