,Hampton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jericka Jenkins,6,15,6,14,0,1,2,3,0,1,3,2,1,1,4,14,0.13333333333333333,3.0
1,Choicetta McMillian,7,14,3,5,4,9,1,2,2,4,3,0,0,5,3,19,0.07142857142857142,0.6
2,Quanneisha Perry,5,14,5,13,0,1,2,2,5,7,1,0,0,2,3,12,0.14285714285714285,0.5
3,Laura Lewis,0,6,0,5,0,1,0,0,2,6,1,0,3,1,2,0,0.0,1.0
4,Melanie Warner,1,3,0,2,1,1,3,4,2,4,1,0,1,4,3,6,1.0,0.25
8,School Totals,23,63,17,48,6,15,10,13,15,25,11,4,6,17,16,62,0.15873015873015872,0.6470588235294118
