,Houston ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lesslee Mason,6,10,6,10,0,0,5,8,3,7,1,1,3,2,2,17,0.5,0.5
1,Porsche Landry,3,9,2,7,1,2,2,2,0,2,5,0,0,5,4,9,0.2222222222222222,1.0
2,Brittany Mason,1,7,0,5,1,2,0,0,3,4,1,3,1,3,3,3,0.0,0.3333333333333333
3,Brittney Scott,6,15,2,5,4,10,8,9,0,4,0,0,0,3,4,24,0.5333333333333333,0.0
4,Courtney Taylor,6,13,5,11,1,2,4,6,2,2,2,0,0,0,3,17,0.3076923076923077,0.0
9,School Totals,22,56,15,39,7,17,22,29,9,25,9,5,5,16,21,73,0.39285714285714285,0.5625
