,Texas Tech ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Casey Morris,4,12,3,8,1,4,1,2,1,2,1,4,0,1,0,10,0.08333333333333333,1.0
1,Monique Smalls,1,5,1,3,0,2,0,0,1,1,2,1,0,5,1,2,0.0,0.4
2,Kierra Mallard,4,15,3,13,1,2,0,0,3,7,1,1,3,2,4,9,0.0,0.5
3,Christine Hyde,3,11,3,10,0,1,0,1,2,4,3,1,1,2,4,6,0.0,1.5
4,Teena Wickett,1,4,1,4,0,0,0,0,2,2,1,2,0,4,1,2,0.0,0.25
9,School Totals,20,60,17,48,3,12,7,9,11,22,10,12,4,20,17,50,0.11666666666666667,0.5
