,Brigham Young ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brenna Drollinger,3,11,1,5,2,6,0,2,0,3,3,2,0,2,3,8,0.0,1.5
1,Shaylee Gonzales,12,21,8,17,4,4,4,4,0,5,1,2,0,2,4,32,0.19047619047619047,0.5
2,Paisley Harding,5,18,4,13,1,5,0,0,2,3,2,1,0,2,4,11,0.0,1.0
3,Sara Hamson,1,3,1,3,0,0,0,0,0,6,0,0,1,0,2,2,0.0,0.0
4,Caitlyn Alldredge,0,3,0,1,0,2,0,0,2,5,2,0,0,0,0,0,0.0,0.0
13,School Totals,25,65,17,47,8,18,5,8,9,26,9,6,1,6,18,63,0.07692307692307693,1.5
