,Florida ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kayla Lewis,8,12,8,12,0,0,4,5,1,8,0,1,1,1,1,20,0.3333333333333333,0.0
1,Jaterra Bonds,6,9,6,9,0,0,2,5,1,2,1,3,0,3,4,14,0.2222222222222222,0.3333333333333333
2,Carlie Needles,4,12,0,1,4,11,1,1,1,0,2,1,0,1,3,13,0.08333333333333333,2.0
3,Cassie Peoples,1,7,1,2,0,5,2,4,0,0,3,1,0,5,0,4,0.2857142857142857,0.6
4,Ronni Williams,0,3,0,3,0,0,0,0,1,4,3,1,1,4,4,0,0.0,0.75
8,School Totals,23,50,17,29,6,21,9,15,6,16,11,8,2,18,18,61,0.18,0.6111111111111112
