,Arizona State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Katie Hempen,5,8,2,2,3,6,9,9,0,1,1,2,0,3,1,22,1.125,0.3333333333333333
1,Sophie Brunner,4,7,4,7,0,0,3,4,1,7,2,0,1,4,2,11,0.42857142857142855,0.5
2,Elisha Davis,1,2,0,0,1,2,2,2,0,2,4,2,1,5,2,5,1.0,0.8
3,Promise Amukamara,5,11,5,8,0,3,0,0,0,0,2,3,0,1,5,10,0.0,2.0
4,Kelsey Moos,1,1,1,1,0,0,1,2,1,2,1,1,0,2,1,3,1.0,0.5
9,School Totals,21,43,16,31,5,12,18,22,5,16,12,11,2,22,15,65,0.4186046511627907,0.5454545454545454
