,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Yashira Delgado,4,5,4,4,0,1,2,3,0,2,6,2,0,7,2,10,0.4,0.8571428571428571
1,Natasha Howard,5,9,5,9,0,0,0,2,3,10,0,2,2,8,3,10,0.0,0.0
2,Brittany Brown,4,9,4,8,0,1,0,0,2,2,1,3,0,1,1,8,0.0,1.0
3,Lauren Coleman,3,7,0,1,3,6,0,0,0,2,1,0,0,0,1,9,0.0,0.0
4,Emiah Bingley,1,5,0,1,1,4,0,0,0,3,2,1,0,2,2,3,0.0,1.0
8,School Totals,21,46,17,33,4,13,9,14,6,34,10,11,3,25,15,55,0.1956521739130435,0.4
