,Oklahoma State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Roddricka Patton,8,16,3,8,5,8,2,2,1,4,4,1,0,4,2,23,0.125,1.0
1,Roshunda Johnson,2,12,0,7,2,5,4,4,1,4,3,1,0,1,3,10,0.3333333333333333,3.0
2,Brittney Martin,2,7,2,7,0,0,0,0,1,11,1,0,0,2,1,4,0.0,0.5
3,Liz Donohoe,4,11,3,9,1,2,5,6,3,5,0,1,2,1,2,14,0.45454545454545453,0.0
4,LaShawn Jones,4,11,4,11,0,0,0,0,4,4,2,0,0,3,2,8,0.0,0.6666666666666666
11,School Totals,23,62,15,47,8,15,13,14,10,31,10,3,2,14,11,67,0.20967741935483872,0.7142857142857143
