,Florida ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jordan Jones,3,10,2,4,1,6,0,1,4,4,3,0,0,2,0,7,0.0,1.5
1,Jennifer George,6,17,6,17,0,0,4,6,2,4,1,0,0,1,1,16,0.23529411764705882,1.0
2,Lanita Bartley,5,15,2,8,3,7,2,2,2,2,3,2,0,3,0,15,0.13333333333333333,1.0
3,Jaterra Bonds,3,6,1,3,2,3,3,4,0,2,2,0,0,1,1,11,0.5,2.0
4,Azania Stewart,1,4,1,4,0,0,0,0,0,4,2,1,1,1,4,2,0.0,2.0
10,School Totals,26,74,17,53,9,21,9,13,12,23,14,3,2,9,12,70,0.12162162162162163,1.5555555555555556
