,Miami ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shenise Johnson,10,23,10,19,0,4,0,0,5,8,1,1,0,3,2,20,0.0,0.3333333333333333
1,Stefanie Yderstrom,1,9,1,7,0,2,4,4,1,0,2,2,0,2,5,6,0.4444444444444444,1.0
2,Sylvia Bullock,0,2,0,2,0,0,1,2,1,2,1,1,1,2,1,1,0.5,0.5
3,Krystal Saunders,1,7,0,2,1,5,0,0,0,1,1,0,0,0,2,3,0.0,0.0
4,Shawnice Wilson,5,11,5,11,0,0,2,2,4,5,0,0,2,1,4,12,0.18181818181818182,0.0
10,School Totals,22,67,21,55,1,12,9,10,14,21,7,5,4,11,18,54,0.13432835820895522,0.6363636363636364
