,Gardner-Webb ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Dominique Hudson,8,15,7,12,1,3,1,1,1,6,5,3,0,4,4,18,0.06666666666666667,1.25
1,Monique Hudson,7,23,4,16,3,7,0,0,4,3,1,2,0,8,5,17,0.0,0.125
2,LaTroya Pope,2,6,1,4,1,2,0,1,3,4,3,1,0,1,4,5,0.0,3.0
3,Sandra Vaitkute,2,5,2,5,0,0,2,2,0,2,0,1,1,1,3,6,0.4,0.0
4,Brianna Dillard,0,5,0,4,0,1,2,2,0,1,0,0,0,1,2,2,0.4,0.0
12,School Totals,24,70,16,48,8,22,6,7,11,21,10,8,1,19,23,62,0.08571428571428572,0.5263157894736842
