,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Taylor Murray,2,7,2,6,0,1,0,0,3,2,4,2,0,2,4,4,0.0,2.0
1,Rhyne Howard,8,21,5,12,3,9,2,4,2,5,1,3,0,2,1,21,0.09523809523809523,0.5
2,Maci Morris,7,16,3,9,4,7,0,0,0,0,1,1,0,1,4,18,0.0,1.0
3,Tatyana Wyatt,3,9,2,7,1,2,0,0,4,1,0,2,1,0,4,7,0.0,0.0
4,Amanda Paschal,1,4,1,2,0,2,0,0,2,1,1,1,0,0,0,2,0.0,0.0
9,School Totals,22,69,13,40,9,29,4,6,14,15,10,9,2,5,19,57,0.057971014492753624,2.0
