,West Virginia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Christal Caldwell,10,16,7,10,3,6,3,5,1,4,1,3,0,2,2,26,0.1875,0.5
1,Bria Holmes,6,19,5,7,1,12,7,8,1,0,2,1,0,1,3,20,0.3684210526315789,2.0
2,Averee Fields,3,6,3,6,0,0,4,5,1,6,3,2,0,2,4,10,0.6666666666666666,1.5
3,Asya Bussie,1,5,1,5,0,0,1,2,6,6,1,0,3,1,4,3,0.2,1.0
4,Linda Stepney,1,1,0,0,1,1,4,4,1,2,2,1,0,2,1,7,4.0,1.0
12,School Totals,23,54,18,32,5,22,25,34,12,26,9,9,4,14,25,76,0.46296296296296297,0.6428571428571429
