,Albany ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sarah Royals,4,11,4,10,0,1,6,9,0,2,2,2,1,7,5,14,0.5454545454545454,0.2857142857142857
1,Margarita Rosario,2,6,1,2,1,4,1,2,1,3,6,3,0,1,4,6,0.16666666666666666,6.0
2,Tammy Phillip,2,4,2,4,0,0,1,2,2,7,1,0,0,0,4,5,0.25,0.0
3,Megan Craig,9,15,9,15,0,0,5,8,2,4,0,0,0,1,4,23,0.3333333333333333,0.0
4,Shereesha Richards,4,8,4,8,0,0,1,3,2,4,2,1,0,4,5,9,0.125,0.5
8,School Totals,23,50,22,44,1,6,14,29,8,22,12,6,1,16,26,61,0.28,0.75
