,Georgia Tech ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Metra Walthour,6,16,5,11,1,5,2,2,1,1,3,4,0,2,5,15,0.125,1.5
1,Alex Montgomery,3,15,2,4,1,11,0,0,0,9,2,1,1,1,2,7,0.0,2.0
2,Sasha Goodlett,6,12,6,12,0,0,0,0,3,3,1,1,0,4,3,12,0.0,0.25
3,Chelsea Regins,4,8,4,8,0,0,0,0,7,1,1,2,0,2,2,8,0.0,0.5
4,Deja Foster,2,4,2,4,0,0,0,0,1,2,2,2,0,1,3,4,0.0,2.0
9,School Totals,28,72,26,55,2,17,2,2,14,16,10,14,1,12,20,60,0.027777777777777776,0.8333333333333334
