,NC State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kai Crutchfield,5,10,3,6,2,4,2,3,1,1,1,4,0,2,1,14,0.2,0.5
1,Elissa Cunane,5,10,5,10,0,0,6,7,3,7,0,1,0,1,1,16,0.6,0.0
2,Jakia Brown-Turner,4,11,4,8,0,3,1,2,2,2,1,1,0,2,1,9,0.09090909090909091,0.5
3,Raina Perez,2,9,1,5,1,4,2,2,0,1,2,4,0,0,1,7,0.2222222222222222,0.0
4,Kayla Jones,3,6,2,4,1,2,0,0,2,6,1,1,1,3,1,7,0.0,0.3333333333333333
8,School Totals,25,62,20,44,5,18,11,14,11,18,9,12,1,10,5,66,0.1774193548387097,0.9
