,Marist ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Allie Best,2,5,1,2,1,3,2,4,0,4,2,2,0,2,2,7,0.4,1.0
1,Trinasia Kennedy,2,11,1,7,1,4,1,2,0,2,2,0,0,4,1,6,0.09090909090909091,0.5
2,Willow Duffell,2,9,2,8,0,1,2,2,3,5,4,0,0,2,4,6,0.2222222222222222,2.0
3,Sarah Barcello,2,12,0,4,2,8,2,4,0,5,0,1,0,3,0,8,0.16666666666666666,0.0
4,Caitlin Weimar,2,7,2,7,0,0,1,2,4,4,2,0,3,3,0,5,0.14285714285714285,0.6666666666666666
12,School Totals,13,56,8,37,5,19,12,20,9,24,12,3,3,20,10,43,0.21428571428571427,0.6
