,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Erica McCall,4,10,4,9,0,1,1,2,3,8,1,0,2,3,2,9,0.1,0.3333333333333333
1,Brittany McPhee,10,17,5,8,5,9,2,2,2,3,4,0,2,2,1,27,0.11764705882352941,2.0
2,Karlie Samuelson,5,9,0,1,5,8,0,0,1,1,4,0,1,1,2,15,0.0,4.0
3,Briana Roberson,2,5,1,1,1,4,2,2,0,0,3,0,0,0,0,7,0.4,0.0
4,Kaylee Johnson,0,0,0,0,0,0,1,2,0,2,2,0,0,1,0,1,0.0,2.0
9,School Totals,28,59,16,33,12,26,8,10,7,24,22,3,7,11,12,76,0.13559322033898305,2.0
