,San Diego State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Quenese Davis,5,12,3,5,2,7,2,2,1,4,3,2,0,7,2,14,0.16666666666666666,0.42857142857142855
1,Jene Morris,4,18,1,8,3,10,2,2,0,4,3,5,1,2,2,13,0.1111111111111111,1.5
2,Jessika Bradley,3,5,2,4,1,1,2,2,1,2,1,1,0,2,3,9,0.4,0.5
3,Paris Johnson,5,9,5,9,0,0,2,3,5,3,2,1,5,6,5,12,0.2222222222222222,0.3333333333333333
4,Coco Davis,1,5,0,1,1,4,0,0,1,1,1,0,0,3,1,3,0.0,0.3333333333333333
8,School Totals,20,53,11,28,9,25,9,11,9,18,11,11,6,26,15,58,0.16981132075471697,0.4230769230769231
