,Duke ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Keturah Jackson,2,4,1,3,1,1,1,1,3,3,2,6,1,0,1,6,0.25,0.0
1,Joy Cheek,6,15,6,13,0,2,2,2,3,3,1,2,0,5,1,14,0.13333333333333333,0.2
2,Jasmine Thomas,10,19,9,16,1,3,8,8,2,3,6,5,0,4,0,29,0.42105263157894735,1.5
3,Bridgette Mitchell,3,11,3,8,0,3,1,2,5,3,2,7,0,5,3,7,0.09090909090909091,0.4
4,Krystal Thomas,2,4,2,4,0,0,4,9,1,4,1,1,2,4,1,8,1.0,0.25
10,School Totals,24,59,22,50,2,9,16,22,14,18,12,23,3,23,14,66,0.2711864406779661,0.5217391304347826
