,Ohio State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Mitchell,5,15,2,8,3,7,2,3,0,3,2,0,1,1,3,15,0.13333333333333333,2.0
1,Shayla Cooper,3,11,3,9,0,2,0,0,0,15,6,0,0,3,1,6,0.0,2.0
2,Kiara Lewis,2,5,1,3,1,2,1,1,0,0,3,1,0,3,3,6,0.2,1.0
3,Tori McCoy,5,6,5,6,0,0,2,4,2,1,0,0,4,3,5,12,0.3333333333333333,0.0
4,Sierra Calhoun,1,6,0,3,1,3,0,0,3,2,1,0,0,3,3,3,0.0,0.3333333333333333
9,School Totals,27,63,19,43,8,20,8,15,9,29,21,4,9,19,21,70,0.12698412698412698,1.105263157894737
