,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Amber Smith,38,.303,.125,.000,.500,2.8,8.5,5.7,22.0,4.3,0.0,17.0,15.0,79,76
1,Victoria Dunlap,32,.608,.692,.000,.692,6.8,20.3,13.5,9.1,5.2,2.9,5.6,27.3,119,68
2,Amani Franklin,32,.402,.444,.333,.222,6.8,16.9,11.8,6.3,0.0,2.9,0.0,15.0,96,80
3,A'dia Mathies,27,.400,.400,.100,.000,8.0,16.0,12.0,38.8,8.1,6.9,28.6,25.2,77,60
4,Keyla Snowden,24,.424,.188,.625,1.000,0.0,9.0,4.5,0.0,2.3,0.0,8.0,25.3,92,80
6,Rebecca Gray,18,.750,.750,.750,.000,6.0,24.0,15.0,10.8,6.1,0.0,0.0,10.8,160,66
7,Lydia Watkins,15,.706,.750,.000,1.250,0.0,21.6,10.8,0.0,3.7,0.0,13.9,23.3,122,72
8,Brittany Henderson,10,.500,.500,.000,.000,21.6,10.8,16.2,0.0,0.0,0.0,33.3,14.6,89,84
9,Carly Morrow,4,.000,.000,1.000,.000,0.0,27.0,13.5,0.0,0.0,0.0,50.0,24.3,0,78
10,School Totals,200,.484,.449,.220,.475,27.0,78.4,52.7,52.0,19.2,9.3,13.2,100.0,95.9,71.2
