,Unnamed: 0_level_0,Unnamed: 1_level_0,Four Factors,Four Factors,Four Factors,Four Factors,Unnamed: 6_level_0
,Unnamed: 0_level_1,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
0,Michigan State,72.7,0.364,22.5,21.6,0.218,71.2
1,Kentucky,72.7,0.449,13.2,27.0,0.288,95.9
