,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Ward,4,11,0,1,4,10,0,0,1,4,9,1,0,2,0,12,0.0,4.5
1,Alexa Deluzio,3,10,1,5,2,5,3,6,2,0,2,1,1,4,1,11,0.3,0.5
2,Christian Hunnicutt,2,5,2,5,0,0,0,1,5,1,2,1,0,6,3,4,0.0,0.3333333333333333
3,Cierra Bravard,5,10,5,10,0,0,9,13,3,7,1,1,1,3,3,19,0.9,0.3333333333333333
4,Natasha Howard,2,7,1,5,1,2,0,1,4,4,0,1,0,2,3,5,0.0,0.0
8,School Totals,19,54,11,35,8,19,13,23,16,25,14,5,2,19,13,59,0.24074074074074073,0.7368421052631579
