,High Point ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Skyler Curran,4,19,2,6,2,13,4,7,1,7,1,0,0,3,3,14,0.21052631578947367,0.3333333333333333
1,Jenson Edwards,3,11,2,4,1,7,4,4,0,3,1,0,0,2,3,11,0.36363636363636365,0.5
2,Jordan Edwards,1,4,1,4,0,0,0,0,0,0,6,1,0,2,0,2,0.0,3.0
3,Claire Wyatt,3,6,1,2,2,4,0,0,1,2,1,1,0,0,1,8,0.0,0.0
4,Chyna McMichel,1,5,1,5,0,0,1,2,1,1,0,1,0,1,4,3,0.2,0.0
11,School Totals,20,61,11,27,9,34,10,15,3,17,10,4,0,11,19,59,0.16393442622950818,0.9090909090909091
