,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Danielle Robinson,6,16,6,16,0,0,4,4,0,3,5,3,0,7,4,16,0.25,0.7142857142857143
1,Whitney Hand,2,10,2,5,0,5,2,2,1,7,5,3,1,4,1,6,0.2,1.25
2,Nicole Griffin,9,10,9,10,0,0,0,2,0,3,1,1,2,3,3,18,0.0,0.3333333333333333
3,Aaryn Ellenberg,4,13,3,9,1,4,0,0,0,0,0,0,0,1,2,9,0.0,0.0
4,Carlee Roethlisberger,1,3,1,2,0,1,0,0,0,3,2,0,0,6,4,2,0.0,0.3333333333333333
8,School Totals,23,55,22,44,1,11,6,9,1,20,14,7,3,24,17,53,0.10909090909090909,0.5833333333333334
