,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Rori Harmon,4,9,4,7,0,2,2,7,0,1,11,2,0,2,3,10,0.2222222222222222,5.5
1,Audrey Warren,4,6,4,6,0,0,0,2,1,4,1,4,0,2,3,8,0.0,0.5
2,Joanne Allen-Taylor,3,6,2,5,1,1,0,0,0,1,1,1,0,0,3,7,0.0,0.0
3,Lauren Ebo,4,6,4,6,0,0,2,2,2,5,0,0,0,1,3,10,0.3333333333333333,0.0
4,Shay Holle,0,4,0,3,0,1,0,0,0,1,0,0,0,2,2,0,0.0,0.0
11,School Totals,25,58,21,48,4,10,16,26,14,22,16,11,2,13,21,70,0.27586206896551724,1.2307692307692308
