,California ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Mikayla Cowling,4,7,4,7,0,0,3,4,0,6,5,0,0,1,0,11,0.42857142857142855,5.0
1,Mercedes Jefflo,4,11,2,2,2,9,4,6,0,1,0,1,0,5,3,14,0.36363636363636365,0.0
2,Gabby Green,4,8,2,5,2,3,1,2,1,7,4,0,1,2,2,11,0.125,2.0
3,Brittany Boyd,3,8,2,5,1,3,5,6,2,5,4,2,0,5,4,12,0.625,0.8
4,Reshanda Gray,9,13,9,13,0,0,4,7,3,6,0,0,0,1,3,22,0.3076923076923077,0.0
9,School Totals,28,54,23,39,5,15,17,25,8,26,17,5,1,15,15,78,0.3148148148148148,1.1333333333333333
