,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittany Mallory,3,7,2,2,1,5,0,0,1,3,6,1,0,0,1,7,0.0,0.0
1,Kayla McBride,6,12,5,11,1,1,2,3,3,0,2,3,0,1,2,15,0.16666666666666666,2.0
2,Natalie Novosel,5,13,4,10,1,3,1,2,0,4,0,1,0,1,0,12,0.07692307692307693,0.0
3,Skylar Diggins,3,6,2,5,1,1,0,0,1,8,6,0,0,3,1,7,0.0,2.0
4,Devereaux Peters,5,6,5,6,0,0,0,1,1,3,2,2,1,2,3,10,0.0,1.0
11,School Totals,32,66,28,53,4,13,6,10,11,22,25,9,1,11,15,74,0.09090909090909091,2.272727272727273
