,Liberty ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Avery Warley,1,3,1,3,0,0,4,6,4,6,0,1,3,5,2,6,1.3333333333333333,0.0
1,Devon Brown,5,14,4,11,1,3,5,6,1,2,1,1,1,6,3,16,0.35714285714285715,0.16666666666666666
2,Reagan Miller,0,5,0,2,0,3,0,0,0,0,2,2,0,3,2,0,0.0,0.6666666666666666
3,Danika Dale,4,6,2,4,2,2,2,4,0,2,1,2,1,2,1,12,0.3333333333333333,0.5
4,Tolu Omotola,1,7,1,7,0,0,0,0,3,3,0,0,0,1,0,2,0.0,0.0
10,School Totals,13,42,9,30,4,12,13,20,9,19,5,6,5,21,11,43,0.30952380952380953,0.23809523809523808
