,Michigan State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tori Jankoska,7,12,4,6,3,6,9,9,0,8,3,0,0,5,2,26,0.75,0.6
1,Taya Reimer,3,6,3,6,0,0,1,2,1,2,1,1,0,1,2,7,0.16666666666666666,1.0
2,Branndais Agee,4,9,4,8,0,1,1,3,1,3,0,0,1,1,2,9,0.1111111111111111,0.0
3,Taryn McCutcheon,3,5,2,3,1,2,0,0,0,0,2,0,0,2,2,7,0.0,1.0
4,Victoria Gaines,2,6,1,4,1,2,0,0,1,1,1,0,1,0,3,5,0.0,0.0
10,School Totals,22,45,16,32,6,13,11,16,4,20,8,2,2,16,20,61,0.24444444444444444,0.5
