,Arizona State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sabrina Haines,5,10,2,6,3,4,2,4,0,2,4,0,0,2,1,15,0.2,2.0
1,Reili Richardson,5,9,3,3,2,6,1,2,0,2,3,1,0,2,2,13,0.1111111111111111,1.5
2,Quinn Dornstauder,6,6,6,6,0,0,4,4,0,4,1,0,1,0,1,16,0.6666666666666666,0.0
3,Sophie Brunner,4,10,3,8,1,2,0,0,0,5,4,1,0,1,3,9,0.0,4.0
4,Kelsey Moos,0,0,0,0,0,0,2,2,3,2,1,1,0,2,2,2,0.0,0.5
11,School Totals,28,57,20,39,8,18,9,12,6,19,21,6,1,10,19,73,0.15789473684210525,2.1
