,St. John's ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Nadirah McKenith,4,8,4,8,0,0,6,7,5,2,4,1,1,5,3,14,0.75,0.8
1,Shenneika Smith,2,14,2,12,0,2,1,3,1,8,0,3,2,2,0,5,0.07142857142857142,0.0
2,Da'Shena Stevens,1,8,1,8,0,0,1,4,3,7,2,3,0,1,1,3,0.125,2.0
3,Centhya Hart,3,7,3,7,0,0,0,0,3,6,2,2,0,3,3,6,0.0,0.6666666666666666
4,Sky Lindsay,3,4,3,4,0,0,0,0,0,3,1,0,0,3,0,6,0.0,0.3333333333333333
9,School Totals,21,60,19,54,2,6,11,19,14,29,12,11,3,17,10,55,0.18333333333333332,0.7058823529411765
