,Florida Gulf Coast ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Whitney Knight,8,20,5,8,3,12,0,0,0,10,2,0,2,0,4,19,0.0,0.0
1,Kaneisha Atwater,10,17,8,12,2,5,4,7,1,7,0,1,0,4,4,26,0.23529411764705882,0.0
2,Jenna Cobb,4,11,2,6,2,5,0,0,1,2,3,2,0,1,2,10,0.0,3.0
3,DyTiesha Dunson,2,2,1,1,1,1,0,0,2,3,4,0,0,1,1,5,0.0,4.0
4,Stephanie Haas,2,4,1,2,1,2,4,7,1,1,2,2,0,0,2,9,1.0,0.0
13,School Totals,28,62,17,30,11,32,8,14,5,26,13,6,2,7,14,75,0.12903225806451613,1.8571428571428572
