,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Amber Orrange,6,9,4,6,2,3,0,1,0,2,4,1,0,1,2,14,0.0,4.0
1,Lili Thompson,4,10,3,6,1,4,1,2,1,3,3,2,1,3,2,10,0.1,1.0
2,Chiney Ogwumike,9,19,9,19,0,0,2,3,4,6,1,1,2,5,3,20,0.10526315789473684,0.2
3,Mikaela Ruef,6,11,3,6,3,5,2,3,1,8,3,0,0,2,2,17,0.18181818181818182,1.5
4,Sara James,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
9,School Totals,29,58,20,38,9,20,7,11,6,26,14,5,3,13,12,74,0.1206896551724138,1.0769230769230769
