,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Rae Burrell,7,18,5,13,2,5,3,4,1,5,3,3,0,4,0,19,0.16666666666666666,0.75
1,Tamari Key,6,12,6,12,0,0,4,4,8,3,1,1,0,5,3,16,0.3333333333333333,0.2
2,Jordan Walker,4,12,4,8,0,4,5,6,2,5,4,1,0,1,4,13,0.4166666666666667,4.0
3,Alexus Dye,6,12,6,12,0,0,6,8,5,6,2,1,0,2,1,18,0.5,1.0
4,Tess Darby,0,5,0,2,0,3,0,0,1,2,1,0,0,0,0,0,0.0,0.0
10,School Totals,28,68,25,55,3,13,21,29,22,28,15,8,0,19,13,80,0.3088235294117647,0.7894736842105263
