,Buffalo ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Summer Hemphill,3,10,3,9,0,1,2,2,8,2,2,3,0,2,4,8,0.2,1.0
1,Dyaisha Fair,10,28,5,15,5,13,0,2,1,4,7,2,0,2,0,25,0.0,3.5
2,Georgia Woolley,6,20,3,12,3,8,0,0,1,2,3,7,0,7,4,15,0.0,0.42857142857142855
3,Dominique Camp,4,12,3,8,1,4,0,0,0,1,2,1,0,3,1,9,0.0,0.6666666666666666
4,Loren Christie,1,2,1,1,0,1,0,0,0,4,0,0,1,2,2,2,0.0,0.0
9,School Totals,26,75,17,48,9,27,6,10,15,16,16,13,1,16,23,67,0.08,1.0
