,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tiffany Mitchell,7,13,6,9,1,4,5,8,2,2,3,4,0,1,2,20,0.38461538461538464,3.0
1,Khadijah Sessions,3,5,3,3,0,2,0,0,1,1,2,2,0,2,2,6,0.0,1.0
2,Asia Dozier,1,6,0,1,1,5,0,0,0,2,3,0,0,1,0,3,0.0,3.0
3,Alaina Coates,5,7,5,7,0,0,4,8,5,5,0,1,2,0,1,14,0.5714285714285714,0.0
4,A'ja Wilson,2,9,2,9,0,0,4,4,1,4,0,1,3,2,2,8,0.4444444444444444,0.0
11,School Totals,26,60,20,38,6,22,15,26,17,26,11,9,6,11,15,73,0.25,1.0
