,Kansas State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kindred Wesemann,2,6,1,2,1,4,0,0,0,0,3,3,0,1,2,5,0.0,3.0
1,Breanna Lewis,9,19,9,19,0,0,3,4,5,4,0,1,2,2,4,21,0.15789473684210525,0.0
2,Megan Deines,1,10,1,7,0,3,3,4,0,1,1,0,0,2,3,5,0.3,0.5
3,Shaelyn Martin,1,6,1,3,0,3,0,0,2,4,2,2,0,3,4,2,0.0,0.6666666666666666
4,Kaylee Page,1,5,0,2,1,3,0,0,0,3,0,0,0,3,2,3,0.0,0.0
11,School Totals,18,56,16,42,2,14,9,13,11,18,9,7,2,16,19,47,0.16071428571428573,0.5625
