,Marist ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Corielle Yarde,9,17,5,9,4,8,3,3,4,8,2,0,2,3,4,25,0.17647058823529413,0.6666666666666666
1,Brandy Gang,1,4,1,2,0,2,0,0,0,4,1,0,1,3,2,2,0.0,0.3333333333333333
2,Elise Caron,2,6,0,2,2,4,0,0,0,4,5,2,0,5,2,6,0.0,1.0
3,Kate Oliver,6,12,5,7,1,5,1,2,0,3,2,0,0,3,2,14,0.08333333333333333,0.6666666666666666
4,Erica Allenspach,1,3,1,2,0,1,0,0,1,0,3,1,0,1,1,2,0.0,3.0
9,School Totals,26,54,16,27,10,27,4,5,6,21,20,6,3,18,19,66,0.07407407407407407,1.1111111111111112
