,Duke ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jasmine Thomas,7,22,4,16,3,6,0,1,1,3,4,3,0,2,0,17,0.0,2.0
1,Karima Christmas,4,9,4,6,0,3,3,6,3,3,2,4,1,0,2,11,0.3333333333333333,0.0
2,Krystal Thomas,4,7,4,7,0,0,2,2,6,2,2,0,0,1,0,10,0.2857142857142857,2.0
3,Shay Selby,2,5,2,3,0,2,0,1,2,0,1,2,0,2,1,4,0.0,0.5
4,Allison Vernerey,0,4,0,4,0,0,0,3,3,2,1,0,0,2,1,0,0.0,0.5
11,School Totals,27,63,22,46,5,17,12,23,20,22,14,12,1,16,10,71,0.19047619047619047,0.875
