,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Wiese,4,8,1,1,3,7,7,8,0,4,6,0,0,6,3,18,0.875,1.0
1,Jamie Weisner,5,14,3,9,2,5,4,6,3,5,2,0,1,7,4,16,0.2857142857142857,0.2857142857142857
2,Gabriella Hanson,4,10,2,5,2,5,0,0,1,2,1,0,0,2,0,10,0.0,0.5
3,Deven Hunter,0,2,0,1,0,1,2,2,4,3,2,1,0,2,4,2,1.0,1.0
4,Ruth Hamblin,4,10,4,10,0,0,2,2,2,10,0,1,4,2,4,10,0.2,0.0
8,School Totals,19,47,12,29,7,18,15,18,10,26,13,3,6,19,15,60,0.3191489361702128,0.6842105263157895
