,Michigan ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Emily Kiser,5,8,4,6,1,2,2,2,1,6,1,2,1,0,2,13,0.25,0.0
1,Maddie Nolan,2,7,0,2,2,5,0,0,2,5,4,2,1,1,1,6,0.0,4.0
2,Naz Hillmon,11,14,11,14,0,0,2,6,5,6,1,3,0,2,0,24,0.14285714285714285,0.5
3,Danielle Rauch,0,3,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0.0,0.0
4,Laila Phelia,4,9,4,6,0,3,0,0,0,1,2,2,0,2,1,8,0.0,1.0
13,School Totals,32,66,27,49,5,17,5,11,11,28,21,11,2,11,9,74,0.07575757575757576,1.9090909090909092
