,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Breanna Stewart,8,10,8,10,0,0,1,2,1,9,5,1,2,3,0,17,0.1,1.6666666666666667
1,Morgan Tuck,12,13,12,13,0,0,2,2,1,2,8,1,0,2,0,26,0.15384615384615385,4.0
2,Kia Nurse,4,6,0,0,4,6,0,0,0,3,2,0,1,2,1,12,0.0,1.0
3,Moriah Jefferson,2,4,1,2,1,2,0,0,2,1,5,0,0,2,1,5,0.0,2.5
4,Kaleena Mosqueda-Lewis,1,6,1,3,0,3,0,0,1,2,1,0,0,0,0,2,0.0,0.0
11,School Totals,40,57,35,44,5,13,4,8,10,32,26,6,9,13,8,89,0.07017543859649122,2.0
