,St. Francis ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Leah Fechko,1,8,1,5,0,3,0,0,2,3,2,3,0,2,2,2,0.0,1.0
1,Katie Fox,0,2,0,1,0,1,0,0,0,0,1,1,0,3,1,0,0.0,0.3333333333333333
2,Eilidh Simpson,2,10,1,6,1,4,0,0,2,1,1,0,0,2,2,5,0.0,0.5
3,Sarah Benedetti,5,15,2,6,3,9,0,0,1,1,1,0,1,0,0,13,0.0,0.0
4,Jaymee Veney,2,14,1,10,1,4,0,0,1,3,1,2,0,1,3,5,0.0,1.0
11,School Totals,13,60,6,32,7,28,0,0,8,9,7,6,1,12,12,33,0.0,0.5833333333333334
