,Louisiana State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Adrienne Webb,1,7,1,3,0,4,1,2,1,2,1,0,1,0,2,3,0.285714286,0
1,LaSondra Barrett,2,9,2,8,0,1,13,18,1,9,3,0,0,2,4,17,2,1.5
2,Courtney Jones,4,10,4,10,0,0,5,6,4,4,2,1,1,2,2,13,0.6,1
3,Jeanne Kenney,3,5,1,2,2,3,2,3,0,3,4,0,0,3,4,10,0.6,1.333333333
4,Taylor Turnbow,2,3,2,3,0,0,2,2,1,6,1,0,1,2,1,6,0.666666667,0.5
11,School Totals,18,47,16,38,2,9,26,35,9,30,12,1,3,9,16,64,0.744680851,1.333333333
